no;km;parcours
488;55;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – D12 TREFUMEL – à droite D39 – LE QUIOU – D26 – D39 – EVRAN – D78 – D11 – TREVERIEN – D79 – traverser D13 – D 79 – Rollée – à droite VC – D70 – ST THUAL – D70 – LONGAULNAY – D70 – à gauche D68 – à droite D20 – BECHEREL – D20 – Ch au de Caradeuc – à gauche D70 – IRODOUËR – D221 – D62 – La Saudraie – D262 – D71 – MONTAUBAN
491;76;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – à droite D25 – PLOUASNE – à droite et à gauche VC (direction Le Quiou) – à droite avant l’entrée du bourg D26 – traverser D2 – D26 – D13 – ST DOMINEUC – D13 – LA CHLLE AUX FILTZMEENS – à droite D81 – QUEBRIAC – D81 – à droite D20 – TINTENIAC – D20 – LA BAUSSAINE – à gauche et tout droit D279 (direction Miniac s/s Bécherel) – à gauche D27 et aussitôt à droite D220 – MINIAC S/S BECHEREL – D220 – à gauche D70 – IRODOUËR – D221 (direction La Ch lle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
492;58;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – à droite D25 – PLOUASNE – à droite et à gauche VC (direction Le Quiou) – à droite avant l’entrée du bourg D26 – traverser D2 – D26 – D13 – à droite VC – ST THUAL – à droite D70 – LONGAULNAY – à gauche dans le bourg avant église VC – à gauche D20 – LA BAUSSAINE – à droite et tout droit D279 (direction Miniac s/s Bécherel) – à gauche D27 et aussitôt à droite D220 – MINIAC S/S BECHEREL – D220 – à gauche D70 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
493;44;MONTAUBAN – D 61 – MEDREAC – à droite D 220 – D 20 – BECHEREL – D 20 – LA BAUSSAINE – à droite et tout droit D 279 (direction Miniac s/s Bécherel) – à gauche D 27 et aussitôt à droite D 220 – MINIAC S/S BECHEREL – D 220 – à gauche D 70 – IRODOUËR – D 221 (direction La Chlle du Lou) – D 62 – La Saudraie – D 262 – MONTAUBAN
496;76;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – D70 (direction Bécherel) - à droite D220 - MINIAC S/S BECHEREL - D220 - à gauche D27 et aussitôt à droite D279 - LA BAUSSAINE - à droite D20 - TINTENIAC - tout droit D20 puis à gauche D81 - QUEBRIAC - D81 - LA CHLLE AUX FILTZMEENS - à gauche D13 - ST DOMINEUC - D13 - Traverser D68 - D26 (direction Le Quiou) - avant l'entrée du Quiou, à gauche VC - PLOUASNE - à droite D25 - GUITTE - à gauche D89 - D61 - MEDREAC - D61 - MONTAUBAN
497;58;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – D70 (direction Bécherel) - à droite D220 - MINIAC S/S BECHEREL - D220 - à gauche D27 et aussitôt à droite D279 - LA BAUSSAINE - à gauche D20 (direction Bécherel) – 2ème à droite VC - LONGAULNAY – à droite à l’église D70 - ST THUAL - à gauche VC direction St Judoce) - à gauche D13 – D26 - Traverser D68 - D26 (direction Le Quiou) - avant l'entrée du Quiou, à gauche VC - PLOUASNE - à droite D25 - GUITTE - à gauche D89 - D61 - MEDREAC - D61 - MONTAUBAN
498;44;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – D70 (direction Bécherel) - à droite D220 - MINIAC S/S BECHEREL - D220 - à gauche D27 et aussitôt à droite D279 - LA BAUSSAINE - à gauche D20 - BECHEREL - D20 - D220 - MEDREAC - D61 - MONTAUBAN
501;85;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – traverser D72 – D21 – ROMILLE – D28 – GEVEZE – à droite D287 (direction Pacé) – à droite (direction Rennes) et passer sous 4 voies au niveau du Pont de Pacé – à gauche D287 vers L’Hermitage – au rond point, tout droit D21 – LE RHEU – (direction Rennes jusqu’à la sortie du Rheu puis direction Chavagne) – au rond point après 4 voies, à droite D334 (Les Hourdis) – traverser D34 – CHAVAGNE – D21 – GOVEN – D62 – BREAL S/S MONTFORT – à droite et à gauche VC – MORDELLES – à gauche D34 – CINTRE – D687 (direction La Chlle Thourault) – à gauche D30 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
502;71;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – traverser D72 – D21 – ROMILLE – D28 – GEVEZE – à droite D287 (direction Pacé) – à droite (direction Rennes) et passer sous 4 voies au niveau du Pont de Pacé – à gauche D287 vers L’Hermitage – au rond point, tout droit D21 – LE RHEU – (direction Rennes) puis à droite D68 (direction Cintré) – à gauche D287 – MORDELLES – à droite D34 – CINTRE – D687 (direction La Chlle Thouaurault) – à gauche D30 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
503;54;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – traverser D72 – D21 – ROMILLE – à droite puis à gauche D21 – ST GILLES – D21 (direction L’Hermitage) – à droite D125 – La Pierre Blanche – à gauche VC – LA CHLLE THOUARAULT – à droite D30 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
506;85;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D30 (direction La Chapelle Thouarault) - à droite D68 - CINTRE - D34 - MORDELLES - à droite VC - BREAL S/S MONTFORT - D62 - GOVEN - à gauche D21 - CHAVAGNE - au stop, tout droit - Rond point du Plessis - tout droit D334 - traverser D34 - D334 - au rond point (direction Le Rheu) - LE RHEU (centre ville et direction L'Hermitage) - D21 - au rond point de L'Hermitage, tout droit D287 (direction St Gilles) - passer sous 4 voies – au stop, à gauche D287 - GEVEZE - à gauche D28 - ROMILLE - D21 - IRODOUER - à gauche D221 - La Saudraie - D262 - D71 - MONTAUBAN
507;71;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D30 (direction La Chapelle Thouarault) - à droite D68 - CINTRE – à gauche et à droite D34 (direction Mordelles) puis à gauche D68 - LE RHEU (centre ville et direction L'Hermitage) - D21 - au rond point de L'Hermitage, tout droit D287 (direction St Gilles) - passer sous 4 voies – au stop, à gauche D287 - GEVEZE - à gauche D28 - ROMILLE - D21 - IRODOUER - à gauche D221 - La Saudraie - D262 - D71 - MONTAUBAN
508;54;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D30 - LA CHLLE THOUARAULT - à gauche VC - La Pierre Blanche - à droite D125 (direction L'Hermitage) - au rond point D21 - ST GILLES - D21 - ROMILLE - D21 - IRODOUER - à gauche D221 - La Saudraie - D262 - D71 - MONTAUBAN
511;79;MONTAUBAN – D71 – LANDUJAN – D71 (direction Bécherel) – à droite D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à gauche D21 – ROMILLE – D28 (direction Gévezé) – à droite D231 – PARTHENAY DE B GNE – à droite D331 (direction St Gilles) – à droite D21 (direction Romillé) – à gauche VC – CLAYES – D421 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – à gauche VC (direction Breteil) – La Grande Porte – VC – TALENSAC – D62 (direction Bréal s/s Montfort) – à droite D69 (direction Le Verger) – 2ème à droite VC – Le Val Beuzet – VC – à droite D363 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
512;60;MONTAUBAN – D71 – LANDUJAN – D21 – IRODOUËR – tout droit D221 (direction Les Iffs) – à droite D68 – ROMILLE – D68 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – à gauche VC (direction Breteil) – La Grande Porte – VC – TALENSAC – D62 (direction Bréal s/s Montfort) – à droite D69 (direction Le Verger) – 2ème à droite VC – Le Val Beuzet – VC – à droite D363 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
513;44;MONTAUBAN – D71 – LANDUJAN – D21 – IRODOUËR – à droite et à gauche D21 – ROMILLE – D68 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – à gauche VC (direction Breteil) – La Grande Porte – à droite D 125 – MONTFORT/MEU – D 125 – D 61 – MONTAUBAN
516;79;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 (direction Monterfil) - traverser D35 – D363 – 2ème à gauche VC - Le Val Beuzet – VC - à gauche D62 - TALENSAC - à droite VC - La Grande Porte - VC – BEDEE (centre) - à droite D31 - D68 - PLEUMELEUC - D421 - CLAYES - à droite D21 (direction St Gilles) - à gauche D331 - PARTHENAY DE BGNE – à gauche D231 (direction Langan) - à gauche D28 - ROMILLE – D68 (direction Irodouër) - à droite D68 - MINIAC S/S BECHEREL - à gauche D220 (direction St Pern) - traverser D70 - D220 - à gauche D71 - LANDUJAN - D71 - MONTAUBAN
517;60;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 (direction Monterfil) - traverser D35 – D363 – 2ème à gauche VC - Le Val Beuzet – VC - à gauche D62 - TALENSAC - à droite VC - La Grande Porte - VC – BEDEE (centre) - à droite D31 – D68 - PLEUMELEUC - D68 - ROMILLE – D68 (direction Irodouër) - à droite D68 (direction Miniac s/s Bécherel) - à gauche D221 - IRODOUER - D21 - LANDUJAN - D71 - MONTAUBAN
518;44;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D125 (direction Breteil) - La Grande Porte - à gauche VC – BEDEE (centre) - à droite D31 – D68 - PLEUMELEUC - D68 - ROMILLE - D21 - IRODOUER - D21 - LANDUJAN - D71 - MONTAUBAN
521;85;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite, passer au-dessus 4 voies et aussitôt à gauche D712 – BROONS – au rond point, D712 (direction Sévignac) puis tout droit D712 – ZA des Dineux – à droite VC, passer sur 4 voies puis à gauche VC (direction Lamballe) - traverser D39 - D60 – DOLO – à gauche D16 – SEVIGNAC – D16 – EREAC – D46 – LANRELAS – D52 – TREMOREL – à droite à l’église et 1ère à gauche – VC (direction Le Loscouët/Meu) – traverser D764 – VC (direction Les Buissonnets) – après 2 km, sur la gauche – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
522;63;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite, passer au-dessus 4 voies et aussitôt à gauche D712 – BROONS (centre) – à gauche D793 (direction Eréac) – Le Pont du Breuil – à gauche D52 – LANRELAS – D52 – TREMOREL – à droite à l’église et 1ère à gauche – VC (direction Le Loscouët/Meu) – traverser D764 – VC (direction Les Buissonnets) – après 2 km, sur la gauche – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE G D – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
523;50;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à gauche D46 – PLUMAUGAT – D46 (direction Lanrelas) et aussitôt à gauche, VC – La Gautraie – au rond point D764 (direction St Méen) – passer sous 4 voies – VC – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
526;85;MONTAUBAN - La Brohinière - D28 - D59 - LE CROUAIS - D59 - ST MEEN LE GD – D220 - D66 – LE LOSCOUET/MEU - à droite (direction Trémorel) et à gauche dans le bourg – à gauche avant l'étang, VC (direction Trémorel) – traverser D764 - TREMOREL - D52 - Les Treize Chênes - tout droit D52 - LANRELAS - D46 - EREAC - D16 - SEVIGNAC - D16 - DOLO - à droite D60 (direction Broons) - D712 - BROONS - D712 - ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - MONTAUBAN
527;63;MONTAUBAN - La Brohinière - D28 - D59 - LE CROUAIS - D59 - ST MEEN LE GD – D220 - D66 - LE LOSCOUET/MEU - à droite (direction Trémorel) et à gauche dans le bourg – à gauche avant l'étang, VC (direction Trémorel) – traverser D764 - TREMOREL - D52 - Les Treize Chênes - tout droit D52 - LANRELAS - D52 (direction Broons) – Le Pont du Breuil – à droite D793 - BROONS - D712 - ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - MONTAUBAN
528;50;MONTAUBAN - La Brohinière - D28 - D59 - LE CROUAIS - D59 - ST MEEN LE GD – D220 - D66 - LE LOSCOUET/MEU - à droite (direction Trémorel) et à gauche dans le bourg – à droite avant l'étang, VC (direction Plumaugat) – au rond point D764 (direction Plumaugat) – à droite VC – La Gautraie - VC - PLUMAUGAT - D46 (direction Caulnes) - D712 - ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - MONTAUBAN
531;82;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE - à gauche D25 – CAULNES – à droite et 2ème à gauche D62 – YVIGNAC LA TOUR – D89 – LANGUEDIAS – à gauche D61 – TREDIAS – D39 – à gauche D19 – TREMEUR – D19 – à gauche D712 – BROONS – D793 (direction Eréac) – à gauche D52 – LANRELAS – D52 – TREMOREL – à droite à l’église et 1ère à gauche – VC (direction Le Loscouët/Meu) – traverser D764 – VC (direction Les Buissonnets) – après 2 km, sur la gauche – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
532;68;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE - à gauche D25 – CAULNES – à droite et 1ère à gauche D25 – à droite D712 – BROONS – à gauche D19 – PLUMAUGAT – D19 – D125 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
533;49;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE - à gauche D25 – CAULNES – à gauche et à droite D46 – PLUMAUGAT – D19 – D125 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
536;82;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU - à droite (direction Trémorel) et à gauche dans le bourg – à gauche avant l'étang, VC (direction Trémorel) – traverser D764 - TREMOREL - D52 - LANRELAS - D52 – à droite D793 - BROONS - D712 (direction Les Dineux) - à droite D19 - TREMEUR - D19 - à droite D39 - TREDIAS - à gauche D61 - LANGUEDIAS - à droite D89 - YVIGNAC LA TOUR - D62 - CAULNES - à gauche après l'église D25 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
537;68;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE G D - D125 - D19 - PLUMAUGAT - D19 - BROONS - D712 - Recouvrance - à gauche D25 - CAULNES - à droite et à gauche après l'église D25 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
538;49;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE GD - D125 - D19 - PLUMAUGAT - à droite D46 - CAULNES - à droite avant l'église D25 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
541;63;MONTAUBAN – D28 – ROMILLE – D28 – GEVEZE – D28 (direction La Mézière) – 1ère à gauche D287 – VIGNOC – traverser le bourg – Le Pont – à gauche D287 (direction Hédé) – 2ème à droite D287, passer sous 4 voies et sur la gauche (direction Bazouges s/s Hédé) – La Tréhonais – traverser D221 – D287 – BAZOUGES S/S HEDE – à gauche VC – TINTENIAC – D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
542;51;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D80 (direction St Gondran) – 1ère à gauche VC – LA CHLLE CHAUSSEE – à gauche D27 et aussitôt à droite D81 – ST BRIEUC DES IFFS – D81 – TINTENIAC – à gauche D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
543;36;MONTAUBAN – D28 – ROMILLE – D21 (direction Irodouër) – 1ère à droite D68 – MINIAC S/S BECHEREL – à gauche D220 – traverser D70 – D220 – à gauche D71 – LANDUJAN – D71 – MONTAUBAN
546;63;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - D20 (direction Dingé) - tout de suite à droite VC - BAZOUGES S/S HEDE - à droite et à gauche D287 (direction Vignoc) – La Tréhonais - traverser D221 - D287 - traverser D106 - D287 – passer sous 4 voies - à gauche D287 - Le Pont - à droite VIGNOC - D25 - D287 - GEVEZE - D28 - ROMILLE - D28 - MONTAUBAN
547;51;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - D81 - ST BRIEUC DES IFFS - D81 - LA CHLLE CHAUSSEE - à gauche D27 (direction Gévezé) et tout de suite à droite VC - D80 - LANGAN - D25 - ROMILLE - D28 - MONTAUBAN
548;36;MONTAUBAN - D71 - LANDUJAN - D71 (direction Bécherel) - à droite D220 (direction Miniac s/s Bécherel) - traverser D70 – D220 - MINIAC S/S BECHEREL - à droite D68 – à gauche D21 - ROMILLE - D28 - MONTAUBAN
551;73;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 (direction Bédée) – Le Bois de Pellan – à droite D62 – LA NOUAYE – D62 (direction Montfort) puis tout droit VC – Blavon – BEDEE (centre) – D31 (direction Pleumeleuc) – au rond point avant 4 voies, tout droit (direction Rennes) et aussitôt à droite (direction Breteil) – à droite D68 – BRETEIL – à gauche D125 – L’HERMITAGE – à droite D287 – MORDELLES – D34 – CINTRE – à gauche D35 – à droite D62 – TALENSAC – à gauche D35 (direction Monterfil) – à gauche D363 – MONTERFIL – à droite D63 (direction Iffendic) – Les 4 Routes d’Iffendic – D63 (direction Iffendic) – à droite D263 – Le Valet – à gauche D30 et aussitôt à droite VC (direction La Nouaye) – Pintillac – VC – à gauche D125 – D61 – MONTAUBAN
552;59;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 (direction Bédée) – Le Bois de Pellan – à droite D62 – LA NOUAYE – D62 (direction Montfort) puis tout droit VC – Blavon – BEDEE (centre) – D31 (direction Pleumeleuc) – au rond point avant 4 voies, tout droit (direction Rennes) et aussitôt à droite (direction Breteil) – à droite D68 – BRETEIL – à droite D125 – MONTFORT/MEU – D62 – TALENSAC – à droite D35 (direction Monterfil) – à gauche D363 – MONTERFIL – à droite D63 (direction Iffendic) – Les 4 Routes d’Iffendic – D63 (direction Iffendic) – à droite D263 – Le Valet – à gauche D30 et aussitôt à droite VC (direction La Nouaye) – Pintillac – à gauche D125 – D61 – MONTAUBAN
